Date : 2021-08-19 20:20:07
Directory : /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client
Total : 115 files,  22569 codes, 2464 comments, 1635 blanks, all 26668 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/shuttle.svg                             | XML              |          1 |          0 |          0 |          1 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/smile.svg                               | XML              |         42 |          1 |          1 |         44 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/sosad.svg                               | XML              |         52 |          1 |          1 |         54 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/telescope.svg                           | XML              |          1 |          0 |          0 |          1 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/user.svg                                | XML              |         97 |          1 |          1 |         99 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/public/vercel.svg                              | XML              |          4 |          0 |          0 |          4 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/common/listCommon.tsx                      | TypeScript React |         50 |          9 |          6 |         65 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/common/params.ts                           | TypeScript       |          5 |          0 |          1 |          6 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/addTagForm/AddTagForm.tsx       | TypeScript React |         40 |          0 |          5 |         45 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/card/SimpleLevelsCard.tsx       | TypeScript React |         41 |          0 |          5 |         46 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/data/TaskList.tsx               | TypeScript React |        237 |          0 |          6 |        243 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/ddm/DropDownMenu.tsx            | TypeScript React |        111 |          1 |         14 |        126 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/ddm/SelectBox.tsx               | TypeScript React |        115 |          0 |         16 |        131 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/event/Event.tsx                 | TypeScript React |         40 |          0 |          3 |         43 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/input/InputArea.tsx             | TypeScript React |         38 |          0 |          4 |         42 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/input/InputGroup.tsx            | TypeScript React |         54 |          8 |          6 |         68 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/inputtext/InputText.tsx         | TypeScript React |         94 |          0 |          5 |         99 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/layout/AppLayout.tsx            | TypeScript React |        828 |         23 |         69 |        920 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/layout/LibraryLayout.tsx        | TypeScript React |        687 |         22 |         59 |        768 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/layout/ProfileSettingLayout.tsx | TypeScript React |         57 |          0 |          4 |         61 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/layout/RoomLayout.tsx           | TypeScript React |      1,356 |         21 |        108 |      1,485 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/layout/SearchLayout.tsx         | TypeScript React |        153 |          0 |          8 |        161 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/layout/SetEditLayout.tsx        | TypeScript React |        244 |        540 |         23 |        807 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/library/Folder.tsx              | TypeScript React |        698 |         21 |         55 |        774 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/loading/Loading.tsx             | TypeScript React |         18 |          0 |          3 |         21 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/optionsListProfile/index.tsx    | TypeScript React |         11 |          0 |          1 |         12 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/pagination/Pagination.tsx       | TypeScript React |         40 |          0 |          3 |         43 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/schedule/Calendar.tsx           | TypeScript React |      1,179 |         16 |         71 |      1,266 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/schedule/convertTime.ts         | TypeScript       |         60 |          5 |         12 |         77 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/schedule/fakeData.ts            | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/set/Set.tsx                     | TypeScript React |         38 |          0 |          3 |         41 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/sidebar/SideBar.tsx             | TypeScript React |         82 |          0 |          6 |         88 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/site/Meta.tsx                   | TypeScript React |         36 |          0 |          5 |         41 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/components/togle/Toggle.tsx                | TypeScript React |         34 |          0 |          3 |         37 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/hook/useClickOutside.ts                    | TypeScript       |         16 |          0 |          5 |         21 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/lib/gtag.js                                | JavaScript       |         13 |          2 |          3 |         18 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/[username]/library/folders.tsx       | TypeScript React |        248 |          7 |         28 |        283 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/[username]/library/rooms.tsx         | TypeScript React |        228 |          3 |         20 |        251 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/[username]/library/sets.tsx          | TypeScript React |        310 |          2 |         18 |        330 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/_app.tsx                             | TypeScript React |         15 |          0 |          3 |         18 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/_document.tsx                        | TypeScript React |         73 |          2 |          8 |         83 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/active-account/[username].tsx        | TypeScript React |         42 |          0 |          3 |         45 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/admin/index.tsx                      | TypeScript React |        745 |          8 |         34 |        787 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/api/hello.ts                         | TypeScript       |          7 |          1 |          3 |         11 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/auth/login.tsx                       | TypeScript React |        213 |          5 |         23 |        241 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/auth/register.tsx                    | TypeScript React |        122 |          0 |         15 |        137 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/error.tsx                            | TypeScript React |        298 |          0 |          2 |        300 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/folder/[id]/index.tsx                | TypeScript React |          9 |          0 |          3 |         12 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/goodbye.tsx                          | TypeScript React |         40 |          4 |          5 |         49 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/home.tsx                             | TypeScript React |        405 |          3 |         20 |        428 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/index.tsx                            | TypeScript React |         56 |          0 |          4 |         60 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/invitation.tsx                       | TypeScript React |        161 |          3 |         22 |        186 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/landing.tsx                          | TypeScript React |         44 |          0 |          5 |         49 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/me/account.tsx                       | TypeScript React |        208 |          2 |         17 |        227 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/me/learning-custom.tsx               | TypeScript React |        172 |          2 |         20 |        194 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/me/profile.tsx                       | TypeScript React |        274 |         10 |         26 |        310 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/room/[id]/library.tsx                | TypeScript React |        436 |          9 |         44 |        489 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/room/[id]/members.tsx                | TypeScript React |        276 |          6 |         34 |        316 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/room/[id]/requests.tsx               | TypeScript React |        261 |          5 |         31 |        297 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/schedule.tsx                         | TypeScript React |        186 |          0 |         11 |        197 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/search/[type]/[searchBy]/index.tsx   | TypeScript React |        363 |          0 |         15 |        378 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/set/[id]/edit.tsx                    | TypeScript React |         14 |          0 |          4 |         18 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/set/[id]/index.tsx                   | TypeScript React |        726 |        725 |         24 |      1,475 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/set/[id]/learn.tsx                   | TypeScript React |        218 |        973 |         14 |      1,205 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/set/add.tsx                          | TypeScript React |          9 |          0 |          3 |         12 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/pages/temp.tsx                             | TypeScript React |          9 |          0 |          3 |         12 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/authAction.ts                | TypeScript       |         91 |          0 |         17 |        108 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/eventAction.ts               | TypeScript       |          8 |          0 |          5 |         13 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/eventHandleAction.ts         | TypeScript       |          7 |          0 |          2 |          9 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/learnAction.ts               | TypeScript       |          7 |          0 |          2 |          9 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/searchAction.ts              | TypeScript       |         18 |          0 |          2 |         20 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/actions/userAction.ts                | TypeScript       |         20 |          1 |          3 |         24 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/alertReducer.ts             | TypeScript       |         11 |          0 |          3 |         14 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/authReducer.ts              | TypeScript       |         10 |          0 |          4 |         14 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/eventHandleReducer.ts       | TypeScript       |         11 |          0 |          2 |         13 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/eventReducer.ts             | TypeScript       |         12 |          0 |          2 |         14 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/index.ts                    | TypeScript       |         17 |          0 |          2 |         19 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/learnReducer.ts             | TypeScript       |         11 |          0 |          2 |         13 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/searchReducer.ts            | TypeScript       |         11 |          0 |          3 |         14 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/reducers/userReducer.ts              | TypeScript       |         11 |          0 |          3 |         14 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/store.ts                             | TypeScript       |          9 |          0 |          4 |         13 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/alertType.ts                   | TypeScript       |          6 |          0 |          2 |          8 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/authType.ts                    | TypeScript       |         13 |          0 |          4 |         17 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/eventHandleType.ts             | TypeScript       |          6 |          0 |          3 |          9 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/eventType.ts                   | TypeScript       |          6 |          0 |          2 |          8 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/learnType.ts                   | TypeScript       |          6 |          0 |          3 |          9 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/searchType.ts                  | TypeScript       |          6 |          0 |          2 |          8 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/redux/types/userType.ts                    | TypeScript       |          6 |          0 |          2 |          8 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/utils/FetchData.ts                         | TypeScript       |         66 |          6 |         10 |         82 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/utils/TypeScript.ts                        | TypeScript       |        296 |          1 |         49 |        346 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/src/utils/Valid.ts                             | TypeScript       |         37 |          0 |         14 |         51 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/styles/Home.module.css                         | CSS              |        105 |          0 |         17 |        122 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/styles/card.css                                | CSS              |         12 |          0 |          2 |         14 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/styles/globals.css                             | CSS              |          3 |          0 |          1 |          4 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/styles/tooltip.css                             | CSS              |         63 |          0 |         10 |         73 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/tailwind.config.js                             | JavaScript       |         23 |          1 |          1 |         25 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/temp.html                                      | HTML             |        219 |          6 |         26 |        251 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/tsconfig.json                                  | JSON             |         19 |          0 |          1 |         20 |
| /Users/nguyenthaiduong/Desktop/yolo_g18/sla-client/yarn-error.log                                 | Log              |      2,641 |          0 |        426 |      3,067 |
| Total                                                                                             |                  |     22,569 |      2,464 |      1,635 |     26,668 |
+---------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
